"D06942" "D06943" "D06944" "D06945" "D06946" "D06947" "D06948" "D06949" "D06950" "D06951" "D06952" "D06953" "D06954" "D06955" "D06956" "D06957" "D06958" "D06959" "D06960" "D06961" "D06962" "D06963" "D06964" "D06965" "D06966" "D06967" "D06969" "D06970" "D06971" "D06973" "D06974" "D06975" "D06976" "D06977" "D06978" "D06979" "D06980" "D06981" "D06982" "D06987" "D06988" "D06989" "D06990" "D06991" "D06992" "D06993" "D06994" "D06995" "D06996" "D06997" "D06999" "D07000" "D07001" "D07002" "D07003" "D07028" "D07029" "D07030" "D07031" "D07032" "D07033"
"Methylocystis" 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Moraxella" 0 0 10 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 5 0 0 8 0 0 4 0 0 0 0 4 0
"Paeniclostridium" 0 0 5 0 189 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 36 0 0 5 0
"Psychrobacter" 0 0 4 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 262 0 170 0 0 0 58 0
"Romboutsia" 0 0 151 0 448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 385 0 0 0 0 0 7 0 0 0 0
"Ruminococcus 1" 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tumebacillus" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerosporobacter" 0 0 0 7 0 0 0 147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 16 0 0 0 22 0 0 0 0 0 21 0 0 0 0 0 0 0 0 13 0 0 0 0 0
"Bacillus" 0 0 0 197 13 0 0 112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 0 0 0 232 0 0 0 54 0 0 0 20 39 0 0 0 0 34 0 123 0 8 0 36 0 0 0 0 0 10 4 0
"Caryophanon" 0 0 0 109 0 0 0 162 4 0 0 0 0 0 0 0 0 305 0 0 0 0 0 357 0 0 0 0 122 0 0 94 0 710 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0
"Cellulosilyticum" 0 0 0 601 20 0 13 386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 52 0 0 0 317 9 0 0 0 16 22 0 22 0 0 108 0 0 0 106 0 0 34 0 0
"Devosia" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 50 720 0 20 0 133 126 0 0 0 0 0 0 130 30 0 0 1346 0 200 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Flavobacterium" 0 0 0 3 0 0 5 8 0 8 0 336 0 2733 52 614 0 0 629 3181 4999 6796 1688 0 2408 11393 11765 70 265 74 42 0 4960 3960 0 0 0 0 10666 0 0 0 0 2 2 0 0 0 51 0 0 0 0 0 0 0 0 0 0 45 333
"Gemmobacter" 0 0 0 4 0 0 0 0 0 0 0 0 0 150 0 0 0 0 0 152 2176 0 342 0 0 0 0 0 0 0 0 0 180 0 0 0 68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lysinibacillus" 0 0 0 124 0 0 0 129 0 0 0 0 0 0 0 0 0 219 0 0 0 0 0 203 0 0 0 0 492 0 0 462 180 402 0 70 8 48 0 0 0 0 0 0 0 0 12 0 0 0 27 0 11 0 0 0 0 0 0 5 0
"Paenibacillus" 0 0 0 30 0 0 0 93 0 0 0 0 0 8 0 0 0 0 0 0 0 0 18 2 0 70 0 0 0 0 0 0 1276 336 0 0 68 0 50 0 0 7 0 0 0 0 13 0 172 0 15 0 69 0 0 122 0 0 0 5 0
"Paraclostridium" 0 0 0 10 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 15 0 0 0 0
"Pseudarthrobacter" 0 0 0 12 0 0 0 0 0 0 6 0 0 207 0 0 0 0 10 114 654 11 11 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 30 0 14 0 0 6 0 18 0 0 0 18 14
"Rhodobacter" 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0
"Staphylococcus" 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0
"Trichococcus" 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1174-901-12" 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 67 0 0 0 32 0 40 0 0 0 0 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0
"Labrys" 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methylobacterium" 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 40 0
"Capnocytophaga" 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
"Acinetobacter" 0 0 0 0 0 0 4 55 28 0 54 0 0 13 0 0 0 0 0 32 0 6 0 5 0 0 892 74 284 48 2705 140 1818 5432 100 2207 0 174 1486 0 0 0 0 0 0 0 0 138 57 0 0 0 18 86 0 546 0 0 0 1050 0
"Algoriella" 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 278 0 0 0 0 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 16 0
"Epulopiscium" 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0
"Lachnospiraceae UCG-007" 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
"Leuconostoc" 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 4 0 51 0 0 0 0 0 0 0 0 0 156 0 0 0 0 0 594 0 0 0 0 0 7 7 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 22 0
"Shinella" 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerococcus" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0
"Anoxybacillus" 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0
"Cetobacterium" 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
"Comamonas" 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 7 0 348 0 0 0 0 0 2922 0 424 0 256 0 1668 2518 0 30 418 0 2216 0 0 0 0 0 4 0 0 11 0 0 0 0 0 10 0 0 0 0 0 18 0
"Geobacillus" 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 5 0
"Hafnia-Obesumbacterium" 0 0 0 0 0 0 0 0 18 0 0 4 0 0 0 80 209 0 0 0 0 0 0 23 0 0 1622 18267 8012 18148 21297 11526 24 596 2897 11800 0 6805 296 0 0 0 0 12 0 74 11 0 16 0 0 0 0 0 0 0 0 0 0 5 0
"Ochrobactrum" 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 100 0 40 0 0 0 28 120 0 0 0 0 456 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Serratia" 0 0 0 0 0 0 0 0 19 0 14 0 0 56 207 265 176 567 75 36 94 552 0 16 48 489 3239 6518 10170 6424 5694 2898 380 2086 1841 18048 0 3318 6846 0 0 0 0 4 0 9 0 0 0 0 0 9 0 0 0 0 0 0 0 91 727
"Arthrobacter" 0 0 0 0 0 0 0 0 0 632 6 243 119 36 0 0 0 0 13 100 695 0 19 0 0 60 550 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 12 0 0 0 8 7
"Carnobacterium" 0 0 0 0 0 0 0 0 0 116 0 5 178 89 0 0 0 0 0 12 0 0 0 0 27 0 0 0 60 32 0 0 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0
"Paenisporosarcina" 0 0 0 0 0 0 0 0 0 15 0 0 167 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sanguibacter" 0 0 0 0 0 0 0 0 0 26 0 0 0 75 0 0 0 0 0 0 86 0 0 0 0 91 36 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingobacterium" 0 0 0 0 0 0 0 0 0 382 0 16 0 2289 0 0 0 0 983 139 3174 127 30 0 74 76 3709 42 1348 52 0 0 2673 6658 46 0 0 0 308 0 0 0 0 0 0 0 3 0 38 0 0 0 0 0 0 53 0 0 0 49 895
"Stenotrophomonas" 0 0 0 0 0 0 0 0 0 8 0 0 0 60 0 26 0 0 220 218 4050 0 7 0 29 86 354 0 0 0 0 0 372 1500 0 0 18 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
