"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"37" "Arenimonas" 0 0 0.000246838309799357 0.00137433754468206
"38" "Arsenicitalea" 0.00382325632202742 0.0209408373069865 0 0
"39" "Arthrobacter" 0.37354824893681 0.873116503812712 0.00531336448755369 0.0154543670796068
"40" "Ascomycota" 0.000373454830638234 0.00204549634949832 0 0
"41" "Asticcacaulis" 0.0348634308186016 0.137817438718836 0 0
"42" "Atopobium" 0 0 0.00229696943595044 0.0127889845679947
"43" "Azospirillum" 0.007509967775411 0.041133787567295 0 0
"44" "Azotobacter" 0.0049255017854944 0.0269780843494725 0 0
"45" "Bacillus" 0.028868736565091 0.103517145588818 0.0681142488757489 0.1647110444016
"46" "Bacteriovorax" 0.00910220838330368 0.0433882579396989 0 0
"47" "Bacteroides" 0 0 0.0210190849475839 0.0318878840416053
"48" "Bartonella" 0 0 0.000344876939286139 0.00192019353211926
"49" "Basidiomycota" 0.0034372135655362 0.0188263940480694 0 0
"50" "Bauldia" 0.0089274719862086 0.048897777883419 0 0
"51" "Bdellovibrio" 0.0040019702007142 0.0219196935339464 0 0
"52" "Bergeyella" 0.00301944258464285 0.0165381681470059 0.00756865541795131 0.0223498246823835
"53" "Bifidobacterium" 0 0 0.00172272707696283 0.00959173842599599
"54" "Blautia" 0 0 0.00143560589746903 0.00799311535499666
"55" "Bordetella" 0.00206940168361892 0.00820215421458562 0 0
"56" "Bosea" 0 0 0.0056322592702516 0.0288050804674017
"57" "Brachybacterium" 0 0 0.00239783427608184 0.0133505762303408
"58" "Brachymonas" 0 0 0.000716341785768438 0.00398842226640753
"59" "Bradyrhizobium" 0.0655707425193942 0.359145747902353 0.00229696943595044 0.0127889845679947
"60" "Brevibacillus" 0 0 0.000921834573712965 0.00513255768794365
"61" "Brevundimonas" 1.39639998081941 3.10069815804684 0.0120840293188761 0.0672810278010317
"62" "Brochothrix" 0.0179911512228362 0.0565095145143528 0.00143560589746903 0.00799311535499666
"63" "Bryobacter" 0.0638776012806305 0.349872031407222 0 0
"64" "Bryocella" 0 0 0.000678032296034325 0.00377512405470773
"65" "Burkholderia-Caballeronia-Paraburkholderia" 0.0089274719862086 0.048897777883419 0.023260972169021 0.118455684151406
"66" "Buttiauxella" 0.00844910066833942 0.0246541597223504 0 0
"67" "Butyricimonas" 0 0 0.000399639046013641 0.00222509603839014
"68" "Byssovorax" 0.0055411895086812 0.0303503448931566 0 0
"69" "Calothrix PCC-6303" 0 0 0.00172272707696283 0.00959173842599599
"70" "Campylobacter" 0.00280655513660602 0.0153721355720111 1.16506915465259 3.31890910233471
"71" "Candidatus Ovatusbacter" 0.0021549070311538 0.0118029119028942 0 0
"72" "Candidatus Rhabdochlamydia" 0.0043098140623076 0.0236058238057885 0 0
"73" "Capnocytophaga" 0 0 0.000789108076433872 0.00312937955882584
"74" "Cardiobacterium" 0 0 0.00143560589746903 0.00799311535499666
"75" "Carnobacterium" 0.0868058774607801 0.213766004848538 0.00172272707696283 0.00959173842599599
"76" "Caryophanon" 0.173583147092452 0.486956372973706 0.0360909992863405 0.132101920179195
"77" "Caulobacter" 0.0118941983862913 0.0432920575838613 0 0
"78" "Cedecea" 0.0350408166665827 0.0899101557064602 0 0
"79" "Cellulosilyticum" 0.00968429495623946 0.0444834029403914 0.184627091409353 0.504527983512792
"80" "Cellvibrio" 0.0547701638352681 0.175615391997987 0 0
"81" "Cetobacterium" 0.00294102603447394 0.0161086630129134 0.00379357035508743 0.0129425033761658
"82" "Chishuiella" 0.0120780951960113 0.0661544519055016 0 0
"83" "Chitinimonas" 0.0027705947543406 0.0151751724465783 0 0
"84" "Chitinophaga" 0.0144686614948898 0.0792481227765756 0 0
"85" "Chryseobacterium" 0.925769224342095 1.50202862840009 0.143819199252599 0.70529180919042
"86" "Chryseolinea" 0.0064647210934614 0.0354087357086827 0 0
"87" "Chthoniobacter" 0.0624923039034602 0.342284445183933 0 0
"88" "Chthonomonas" 0.0024627508927472 0.0134890421747363 0 0
"89" "Citrobacter" 0.313786128413049 1.50949960111536 0.00588239452263596 0.0209559380885157
"90" "CL500-29 marine group" 0 0 0.000861363538481416 0.00479586921299799
